http://dbpedia.org/resource/Lauda_Air,Lauda Air,OS,AUA,AUSTRIAN
http://dbpedia.org/resource/Luftfahrtgesellschaft_Walter,Luftfahrtgesellschaft Walter,HE,LGW,WALTER
http://dbpedia.org/resource/Lufthansa_Cargo,Lufthansa Cargo,LH,GEC,LUFTHANSA CARGO
http://dbpedia.org/resource/Maersk_Air,Maersk Air,DM,DAN,MAERSKAIR
http://dbpedia.org/resource/Mahan_Air,Mahan Air,W5,IRM,MAHAN
http://dbpedia.org/resource/Martinair,Martinair Cargo,MP,MPH,MARTINAIR
http://dbpedia.org/resource/Mexicana_de_Aviaci%C3%B3n,Grupo Mexicana de Aviacion, S.A. de C.V.,MX,MXA,MEXICANA
http://dbpedia.org/resource/Montenegro_Airlines,Montenegro Airlines,YM,MGX,MONTENEGRO
http://dbpedia.org/resource/Nepal_Airlines,Nepal Airlines,RA,RNA,ROYAL NEPAL
http://dbpedia.org/resource/Nouvelair,Nouvelair,BJ,LBT,NOUVELAIR
http://dbpedia.org/resource/Pacific_Southwest_Airlines,Pacific Southwest Airlines,PS,PSA,PSA
http://dbpedia.org/resource/People_Express_Airlines,PEOPLExpress,PE,PEX,PEOPLE
http://dbpedia.org/resource/Phuket_Air,Phuket Air,-,VAP,PHUKET AIR
http://dbpedia.org/resource/Phuket_Air,Phuket Air,formerly 9R,VAP,PHUKET AIR
http://dbpedia.org/resource/S7_Airlines,S7 Airlines,S7,SBI,SIBERIAN AIRLINES
http://dbpedia.org/resource/SkyEurope,SkyEurope,NE,ESK,RELAX
http://dbpedia.org/resource/Sky_Airlines,Sky Airlines,ZY,SHY,SKY POWER
http://dbpedia.org/resource/Skyservice,Skyservice Airlines,5,SSV,SKYTOUR
http://dbpedia.org/resource/SmartWings,Smart Wings,QS,TVS,SKYTRAVEL
http://dbpedia.org/resource/Sterling_Airlines,Sterling Airlines A/S,NB,SNB,STERLING
http://dbpedia.org/resource/SunExpress,SunExpress,XQ,SXS,SunExpress
