http://dbpedia.org/resource/Aalborg_Airport,Aalborg Airport,AAL,http://dbpedia.org/resource/Aalborg,9.84917,57.0928
http://dbpedia.org/resource/Alexandria_International_Airport_(Egypt),Alexandria International Airport,ALY,http://dbpedia.org/resource/Alexandria,29.9489,31.1839
http://dbpedia.org/resource/Almaty_International_Airport,Almaty International Airport,ALA,http://dbpedia.org/resource/Almaty,77.0406,43.3519
http://dbpedia.org/resource/Altay_Airport,Altay Airport,AAT,http://dbpedia.org/resource/Altay_City,88.0844,47.7504
http://dbpedia.org/resource/Atbara_Airport,Atbara Airport,ATB,http://dbpedia.org/resource/Atbarah,34.0569,17.7097
http://dbpedia.org/resource/Atyrau_Airport,ATMA Atyrau Airport,GUW,http://dbpedia.org/resource/Atyrau,51.8214,47.1219
http://dbpedia.org/resource/Avalon_Airport,Avalon Airport,AVV,http://dbpedia.org/resource/Melbourne,144.469,-38.0394
http://dbpedia.org/resource/Avalon_Airport,Avalon Airport,AVV,http://dbpedia.org/resource/Geelong,144.469,-38.0394
http://dbpedia.org/resource/Bacha_Khan_International_Airport,Bacha Khan International Airport,PEW,http://dbpedia.org/resource/Peshawar,71.5147,33.9939
http://dbpedia.org/resource/Basra_International_Airport,Basrah International Airport,BSR,http://dbpedia.org/resource/Basra,47.6625,30.5489
http://dbpedia.org/resource/Bastia_%E2%80%93_Poretta_Airport,Bastia - Poretta Airport,BIA,http://dbpedia.org/resource/Corsica,9.48472,42.55
http://dbpedia.org/resource/Bengaluru_International_Airport,Bengaluru International Airport,BLR,http://dbpedia.org/resource/Bangalore,77.7056,13.1989
http://dbpedia.org/resource/Biratnagar_Airport,Biratnagar Airport,BIR,http://dbpedia.org/resource/Biratnagar,87.2639,26.4814
http://dbpedia.org/resource/Braunschweig_Airport,Braunschweig-Wolfsburg Airport,BWE,http://dbpedia.org/resource/Braunschweig,10.5553,52.3192
http://dbpedia.org/resource/Braunschweig_Airport,Braunschweig-Wolfsburg Airport,BWE,http://dbpedia.org/resource/Wolfsburg,10.5553,52.3192
http://dbpedia.org/resource/Bujumbura_International_Airport,Bujumbura International Airport,BJM,http://dbpedia.org/resource/Bujumbura,29.3186,-3.32389
http://dbpedia.org/resource/Burgos_Airport,Burgos Airport,RGS,http://dbpedia.org/resource/Burgos,-3.61361,42.3575
http://dbpedia.org/resource/Chengdu_Shuangliu_International_Airport,International Airport,CTU,http://dbpedia.org/resource/Chengdu,103.947,30.5783
http://dbpedia.org/resource/Chengdu_Shuangliu_International_Airport,Chengdu Shuangliu,CTU,http://dbpedia.org/resource/Chengdu,103.947,30.5783
http://dbpedia.org/resource/Cleveland_Hopkins_International_Airport,Cleveland Hopkins International Airport,CLE,http://dbpedia.org/resource/Cleveland,-81.8497,41.4117
http://dbpedia.org/resource/Cochin_International_Airport,Cochin International Airport,COK,http://dbpedia.org/resource/Kochi,76.3914,10.1556
http://dbpedia.org/resource/Conakry_International_Airport,Conakry International Airport,CKY,http://dbpedia.org/resource/Conakry,-13.612,9.57689
http://dbpedia.org/resource/Crotone_Airport,Crotone Airport,CRV,http://dbpedia.org/resource/Crotone,17.0803,38.9972
http://dbpedia.org/resource/Figari_Sud-Corse_Airport,Figari-Sud Corse Airport,FSC,http://dbpedia.org/resource/Corsica,9.09667,41.5022
http://dbpedia.org/resource/Florence_Regional_Airport,Florence Regional Airport,FLO,http://dbpedia.org/resource/Florence,_South_Carolina,-79.9,34.1853
http://dbpedia.org/resource/Florence_Regional_Airport,Florence Regional Airport,FLO,http://dbpedia.org/resource/Florence,_South_Carolina,-79.9,34.4458
http://dbpedia.org/resource/Florence_Regional_Airport,Florence Regional Airport,FLO,http://dbpedia.org/resource/Florence,_South_Carolina,-79.7239,34.1853
http://dbpedia.org/resource/Florence_Regional_Airport,Florence Regional Airport,FLO,http://dbpedia.org/resource/Florence,_South_Carolina,-79.7239,34.4458
http://dbpedia.org/resource/Fuerteventura_Airport,Fuerteventura Airport,FUE,http://dbpedia.org/resource/Fuerteventura,-13.8639,28.4528
http://dbpedia.org/resource/Hassan_I_Airport,Hassan I Airport,EUN,http://dbpedia.org/resource/El_Aai%C3%BAn,-13.2192,27.1517
http://dbpedia.org/resource/Houari_Boumediene_Airport,Houari Boumediene Airport,ALG,http://dbpedia.org/resource/Algiers,3.21541,36.691
