2B,AER,KZN
2B,ASF,KZN
2B,CEK,KZN
2B,CEK,OVB
2B,CSY,DME
2B,DME,CSY
2B,DME,KVX
2B,DME,KZN
2B,DME,MQF
2B,DME,NBC
2B,DME,UUA
2B,GYD,NBC
2B,KEJ,SVX
2B,KJA,OMS
2B,KRR,KZN
2B,KRR,NBC
2B,KUF,LED
2B,KVX,DME
2B,KZN,AER
2B,KZN,ASF
2B,KZN,CEK
2B,KZN,DME
2B,KZN,KRR
2B,KZN,LED
2B,KZN,MRV
2B,KZN,OMS
2B,KZN,ROV
2B,KZN,SVX
2B,LED,KUF
2B,LED,KZN
2B,LED,MQF
2B,LED,NBC
2B,LED,PEE
2B,LED,UFA
2B,MQF,DME
2B,MQF,LED
2B,MRV,KZN
2B,MRV,NBC
2B,NBC,DME
2B,NBC,GYD
2B,NBC,KRR
2B,NBC,LED
2B,NBC,MRV
2B,NBC,NJC
2B,NBC,NUX
2B,NBC,ROV
2B,NBC,SVX
2B,NJC,NBC
2B,NUX,NBC
2B,OMS,KJA
2B,OMS,KZN
2B,OVB,CEK
2B,OVB,SVX
2B,PEE,LED
2B,ROV,KZN
2B,ROV,NBC
2B,SVX,KEJ
2B,SVX,KZN
2B,SVX,NBC
2B,SVX,OVB
2B,UFA,LED
2B,UUA,DME
2G,BQS,OVB
2G,BTK,IKT
2G,GDX,IKT
2G,HTA,IKT
2G,IKT,BTK
2G,IKT,GDX
2G,IKT,HTA
2G,IKT,MJZ
2G,IKT,ODO
2G,IKT,OVB
2G,IKT,ULK
2G,IKT,VVO
2G,MJZ,IKT
2G,MJZ,OVB
2G,ODO,IKT
2G,OVB,BQS
2G,OVB,IKT
2G,OVB,MJZ
2G,ULK,IKT
2G,VVO,IKT
2G,YKS,IKT
2I,AYP,LIM
2I,CUZ,LIM
2I,CUZ,PEM
2I,HUU,LIM
2I,IQT,PCL
2I,IQT,TPP
2I,LIM,AYP
2I,LIM,CUZ
2I,LIM,HUU
2I,LIM,PCL
2I,LIM,TPP
2I,PCL,IQT
2I,PCL,LIM
2I,PCL,TPP
2I,PEM,CUZ
2I,TPP,IQT
2I,TPP,LIM
2I,TPP,PCL
2J,ABJ,BOY
2J,ABJ,OUA
2J,ACC,OUA
2J,BKO,OUA
2J,BOY,ABJ
